FileType, Version, Date, Time, ChartField, TimeSource, Recorder, Scale, Units, ChartSubType, BaseScaling,
LDP,1, 06/23/2020, 09:12:58, Record, Internal,2, Kilo, Primary, Unknown, Primary,
RecNum, Date, Time, Phase, Status,,,,,,,
-1,1,2,-1,3,,,,,,,
PFT3," ""LDPFT3"""," ""PFTA"""," ""LDPFTA"""," ""PFTB"""," ""LDPFTB"""," ""PFTC"""," ""LDPFTC""",,,,
4,5,6,7,8,9,10,11,,,,
DeviceID, FID, TID, Form, CTR, CTRN, PTR, LDAR,,,,
EPSOL-KITAGAWA," ""SEL-735-R203-V0-Z101100-D20190828"""," ""SUBSTATION""",9,4000,4000,1000,300,,,,
ChannelName, ChannelFunction, ChannelUnits, ChannelRule, ChannelMult, ChannelRollover, ChannelScale,,,,,
PFT3, AVG," ""NA"""," ""1""",1,999999999,1,,,,,
LDPFT3, AVG," ""NA"""," ""1""",1,999999999,1,,,,,
PFTA, AVG," ""NA"""," ""1""",1,999999999,1,,,,,
LDPFTA, AVG," ""NA"""," ""1""",1,999999999,1,,,,,
PFTB, AVG," ""NA"""," ""1""",1,999999999,1,,,,,
LDPFTB, AVG," ""NA"""," ""1""",1,999999999,1,,,,,
PFTC, AVG," ""NA"""," ""1""",1,999999999,1,,,,,
LDPFTC, AVG," ""NA"""," ""1""",1,999999999,1,,,,,
EventDate, EventTime, EventCode, EventDescription,,,,,,,,
6/10/2020, 14:43:30.603, X2048," ""SALARM"," Assert""",,,,,,,
6/10/2020, 14:43:31.603, X1048," ""SALARM"," Deassert""",,,,,,,
6/11/2020, 11:16:52.432, X2048," ""SALARM"," Assert""",,,,,,,
6/11/2020, 11:16:53.432, X1048," ""SALARM"," Deassert""",,,,,,,
6/11/2020, 11:17:07.057, X0000," ""Device settings changed""",,,,,,,,
6/11/2020, 11:17:08.357, X2048," ""SALARM"," Assert""",,,,,,,
6/11/2020, 11:17:09.357, X1048," ""SALARM"," Deassert""",,,,,,,
6/13/2020, 12:37:50.372, X0002," ""Power loss""",,,,,,,,
6/15/2020, 09:57:47.688, X0001," ""Power restored""",,,,,,,,
6/15/2020, 10:04:10.021, X2048," ""SALARM"," Assert""",,,,,,,
6/15/2020, 10:04:11.021, X1048," ""SALARM"," Deassert""",,,,,,,
6/15/2020, 10:04:15.971, X0000," ""Device settings changed""",,,,,,,,
6/15/2020, 10:04:16.538, X2048," ""SALARM"," Assert""",,,,,,,
6/15/2020, 10:04:17.538, X1048," ""SALARM"," Deassert""",,,,,,,
6/15/2020, 10:04:26.563, X0000," ""Device settings changed""",,,,,,,,
6/15/2020, 10:04:27.413, X2048," ""SALARM"," Assert""",,,,,,,
6/15/2020, 10:04:28.413, X1048," ""SALARM"," Deassert""",,,,,,,
6/15/2020, 10:16:36.535, X2032," ""SSI_EVE"," Assert""",,,,,,,
6/23/2020, 08:54:29.452, X0002," ""Power loss""",,,,,,,,
6/23/2020, 09:06:40.244, X0001," ""Power restored""",,,,,,,,
Record, Date, Time, Status," ""PFT3"""," ""LDPFT3"""," ""PFTA"""," ""LDPFTA"""," ""PFTB"""," ""LDPFTB"""," ""PFTC"""," ""LDPFTC"""
2886, 06/11/2020, 11:20:00," ""...""",1,1,1,1,1,1,1,1
2885, 06/11/2020, 11:25:00," ""...""",1,1,1,1,1,1,1,1
2884, 06/11/2020, 11:30:00," ""...""",1,1,1,1,1,1,1,1
2883, 06/11/2020, 11:35:00," ""...""",1,1,1,1,1,1,1,1
2882, 06/11/2020, 11:40:00," ""...""",1,1,1,1,1,1,1,1
2881, 06/11/2020, 11:45:00," ""...""",1,1,1,1,1,1,1,1
2880, 06/11/2020, 11:50:00," ""...""",1,1,1,1,1,1,1,1
2879, 06/11/2020, 11:55:00," ""...""",1,1,1,1,1,1,1,1
2878, 06/11/2020, 12:00:00," ""...""",1,1,1,1,1,1,1,1
2877, 06/11/2020, 12:05:00," ""...""",1,1,1,1,1,1,1,1
2876, 06/11/2020, 12:10:00," ""...""",1,1,1,1,1,1,1,1
2875, 06/11/2020, 12:15:00," ""...""",1,1,1,1,1,1,1,1
2874, 06/11/2020, 12:20:00," ""...""",1,1,1,1,1,1,1,1
2873, 06/11/2020, 12:25:00," ""...""",1,1,1,1,1,1,1,1
2872, 06/11/2020, 12:30:00," ""...""",1,1,1,1,1,1,1,1
2871, 06/11/2020, 12:35:00," ""...""",1,1,1,1,1,1,1,1
2870, 06/11/2020, 12:40:00," ""...""",1,1,1,1,1,1,1,1
2869, 06/11/2020, 12:45:00," ""...""",1,1,1,1,1,1,1,1
2868, 06/11/2020, 12:50:00," ""...""",1,1,1,1,1,1,1,1
2867, 06/11/2020, 12:55:00," ""...""",1,1,1,1,1,1,1,1
2866, 06/11/2020, 13:00:00," ""...""",1,1,1,1,1,1,1,1
2865, 06/11/2020, 13:05:00," ""...""",1,1,1,1,1,1,1,1
2864, 06/11/2020, 13:10:00," ""...""",1,1,1,1,1,1,1,1
2863, 06/11/2020, 13:15:00," ""...""",1,1,1,1,1,1,1,1
2862, 06/11/2020, 13:20:00," ""...""",1,1,1,1,1,1,1,1
2861, 06/11/2020, 13:25:00," ""...""",1,1,1,1,1,1,1,1
2860, 06/11/2020, 13:30:00," ""...""",1,1,1,1,1,1,1,1
2859, 06/11/2020, 13:35:00," ""...""",1,1,1,1,1,1,1,1
2858, 06/11/2020, 13:40:00," ""...""",1,1,1,1,1,1,1,1
2857, 06/11/2020, 13:45:00," ""...""",1,1,1,1,1,1,1,1
2856, 06/11/2020, 13:50:00," ""...""",1,1,1,1,1,1,1,1
2855, 06/11/2020, 13:55:00," ""...""",1,1,1,1,1,1,1,1
2854, 06/11/2020, 14:00:00," ""...""",1,1,1,1,1,1,1,1
2853, 06/11/2020, 14:05:00," ""...""",1,1,1,1,1,1,1,1
2852, 06/11/2020, 14:10:00," ""...""",1,1,1,1,1,1,1,1
2851, 06/11/2020, 14:15:00," ""...""",1,1,1,1,1,1,1,1
2850, 06/11/2020, 14:20:00," ""...""",1,1,1,1,1,1,1,1
2849, 06/11/2020, 14:25:00," ""...""",1,1,1,1,1,1,1,1
2848, 06/11/2020, 14:30:00," ""...""",1,1,1,1,1,1,1,1
2847, 06/11/2020, 14:35:00," ""...""",1,1,1,1,1,1,1,1
2846, 06/11/2020, 14:40:00," ""...""",1,1,1,1,1,1,1,1
2845, 06/11/2020, 14:45:00," ""...""",1,1,1,1,1,1,1,1
2844, 06/11/2020, 14:50:00," ""...""",1,1,1,1,1,1,1,1
2843, 06/11/2020, 14:55:00," ""...""",1,1,1,1,1,1,1,1
2842, 06/11/2020, 15:00:00," ""...""",1,1,1,1,1,1,1,1
2841, 06/11/2020, 15:05:00," ""...""",1,1,1,1,1,1,1,1
2840, 06/11/2020, 15:10:00," ""...""",1,1,1,1,1,1,1,1
2839, 06/11/2020, 15:15:00," ""...""",1,1,1,1,1,1,1,1
2838, 06/11/2020, 15:20:00," ""...""",1,1,1,1,1,1,1,1
2837, 06/11/2020, 15:25:00," ""...""",1,1,1,1,1,1,1,1
2836, 06/11/2020, 15:30:00," ""...""",1,1,1,1,1,1,1,1
2835, 06/11/2020, 15:35:00," ""...""",1,1,1,1,1,1,1,1
2834, 06/11/2020, 15:40:00," ""...""",1,1,1,1,1,1,1,1
2833, 06/11/2020, 15:45:00," ""...""",1,1,1,1,1,1,1,1
2832, 06/11/2020, 15:50:00," ""...""",1,1,1,1,1,1,1,1
2831, 06/11/2020, 15:55:00," ""...""",1,1,1,1,1,1,1,1
2830, 06/11/2020, 16:00:00," ""...""",1,1,1,1,1,1,1,1
2829, 06/11/2020, 16:05:00," ""...""",1,1,1,1,1,1,1,1
2828, 06/11/2020, 16:10:00," ""...""",1,1,1,1,1,1,1,1
2827, 06/11/2020, 16:15:00," ""...""",1,1,1,1,1,1,1,1
2826, 06/11/2020, 16:20:00," ""...""",1,1,1,1,1,1,1,1
2825, 06/11/2020, 16:25:00," ""...""",1,1,1,1,1,1,1,1
2824, 06/11/2020, 16:30:00," ""...""",1,1,1,1,1,1,1,1
2823, 06/11/2020, 16:35:00," ""...""",1,1,1,1,1,1,1,1
2822, 06/11/2020, 16:40:00," ""...""",1,1,1,1,1,1,1,1
2821, 06/11/2020, 16:45:00," ""...""",1,1,1,1,1,1,1,1
2820, 06/11/2020, 16:50:00," ""...""",1,1,1,1,1,1,1,1
2819, 06/11/2020, 16:55:00," ""...""",1,1,1,1,1,1,1,1
2818, 06/11/2020, 17:00:00," ""...""",1,1,1,1,1,1,1,1
2817, 06/11/2020, 17:05:00," ""...""",1,1,1,1,1,1,1,1
2816, 06/11/2020, 17:10:00," ""...""",1,1,1,1,1,1,1,1
2815, 06/11/2020, 17:15:00," ""...""",1,1,1,1,1,1,1,1
2814, 06/11/2020, 17:20:00," ""...""",1,1,1,1,1,1,1,1
2813, 06/11/2020, 17:25:00," ""...""",1,1,1,1,1,1,1,1
2812, 06/11/2020, 17:30:00," ""...""",1,1,1,1,1,1,1,1
2811, 06/11/2020, 17:35:00," ""...""",1,1,1,1,1,1,1,1
2810, 06/11/2020, 17:40:00," ""...""",1,1,1,1,1,1,1,1
2809, 06/11/2020, 17:45:00," ""...""",1,1,1,1,1,1,1,1
2808, 06/11/2020, 17:50:00," ""...""",1,1,1,1,1,1,1,1
2807, 06/11/2020, 17:55:00," ""...""",1,1,1,1,1,1,1,1
2806, 06/11/2020, 18:00:00," ""...""",1,1,1,1,1,1,1,1
2805, 06/11/2020, 18:05:00," ""...""",1,1,1,1,1,1,1,1
2804, 06/11/2020, 18:10:00," ""...""",1,1,1,1,1,1,1,1
2803, 06/11/2020, 18:15:00," ""...""",1,1,1,1,1,1,1,1
2802, 06/11/2020, 18:20:00," ""...""",1,1,1,1,1,1,1,1
2801, 06/11/2020, 18:25:00," ""...""",1,1,1,1,1,1,1,1
2800, 06/11/2020, 18:30:00," ""...""",1,1,1,1,1,1,1,1
2799, 06/11/2020, 18:35:00," ""...""",1,1,1,1,1,1,1,1
2798, 06/11/2020, 18:40:00," ""...""",1,1,1,1,1,1,1,1
2797, 06/11/2020, 18:45:00," ""...""",1,1,1,1,1,1,1,1
2796, 06/11/2020, 18:50:00," ""...""",1,1,1,1,1,1,1,1
2795, 06/11/2020, 18:55:00," ""...""",1,1,1,1,1,1,1,1
2794, 06/11/2020, 19:00:00," ""...""",1,1,1,1,1,1,1,1
2793, 06/11/2020, 19:05:00," ""...""",1,1,1,1,1,1,1,1
2792, 06/11/2020, 19:10:00," ""...""",1,1,1,1,1,1,1,1
2791, 06/11/2020, 19:15:00," ""...""",1,1,1,1,1,1,1,1
2790, 06/11/2020, 19:20:00," ""...""",1,1,1,1,1,1,1,1
2789, 06/11/2020, 19:25:00," ""...""",1,1,1,1,1,1,1,1
2788, 06/11/2020, 19:30:00," ""...""",1,1,1,1,1,1,1,1
2787, 06/11/2020, 19:35:00," ""...""",1,1,1,1,1,1,1,1
