FileType, Version, Date, Time, ChartField, TimeSource, Recorder, Scale, Units, ChartSubType, BaseScaling
LDP, 1, 06/23/2020, 09:15:05, Record, Internal, 14, Kilo, Primary, Unknown, Primary
RecNum, Date, Time, Phase, Status
-1, 1, 2, -1, 3
"PLT_VA", "PLT_VB", "PLT_VC"
4, 5, 6
DeviceID, FID, TID, Form, CTR, CTRN, PTR, LDAR
"EPSOL-KITAGAWA", "SEL-735-R203-V0-Z101100-D20190828", "SUBSTATION", 9, 4000, 4000, 1000, 7200
ChannelName, ChannelFunction, ChannelUnits, ChannelRule, ChannelMult, ChannelRollover, ChannelScale
"PLT_VA", AVG, "NA", "1", 1, 999999999, 1
"PLT_VB", AVG, "NA", "1", 1, 999999999, 1
"PLT_VC", AVG, "NA", "1", 1, 999999999, 1
EventDate, EventTime, EventCode, EventDescription
06/10/2020, 14:43:30.603, X2048, "SALARM, Assert"
06/10/2020, 14:43:31.603, X1048, "SALARM, Deassert"
06/11/2020, 11:16:52.432, X2048, "SALARM, Assert"
06/11/2020, 11:16:53.432, X1048, "SALARM, Deassert"
06/11/2020, 11:17:07.057, X0000, "Device settings changed"
06/11/2020, 11:17:08.357, X2048, "SALARM, Assert"
06/11/2020, 11:17:09.357, X1048, "SALARM, Deassert"
06/13/2020, 12:37:50.372, X0002, "Power loss"
06/15/2020, 09:57:47.688, X0001, "Power restored"
06/15/2020, 10:04:10.021, X2048, "SALARM, Assert"
06/15/2020, 10:04:11.021, X1048, "SALARM, Deassert"
06/15/2020, 10:04:15.971, X0000, "Device settings changed"
06/15/2020, 10:04:16.538, X2048, "SALARM, Assert"
06/15/2020, 10:04:17.538, X1048, "SALARM, Deassert"
06/15/2020, 10:04:26.563, X0000, "Device settings changed"
06/15/2020, 10:04:27.413, X2048, "SALARM, Assert"
06/15/2020, 10:04:28.413, X1048, "SALARM, Deassert"
06/15/2020, 10:16:36.535, X2032, "SSI_EVE, Assert"
06/23/2020, 08:54:29.452, X0002, "Power loss"
