FileType, Version, Date, Time, ChartField, TimeSource, Recorder, Scale, Units, ChartSubType, BaseScaling,,,,,,,,,
LDP,1, 06/23/2020, 09:13:21, Record, Internal,5, Kilo, Primary, Unknown, Primary,,,,,,,,,
RecNum, Date, Time, Phase, Status,,,,,,,,,,,,,,,
-1,1,2,-1,3,,,,,,,,,,,,,,,
HRM25_IB," ""HRM3_IB"""," ""HRM27_IB"""," ""HRM5_IB"""," ""HRM7_IB"""," ""HRM9_IB"""," ""HRM11_IB"""," ""HRM13_IB"""," ""HRM15_IB"""," ""HRM17_IB"""," ""HRM19_IB"""," ""HRM21_IB"""," ""HRM23_IB"""," ""HRM29_IB"""," ""HRM31_IB"""," ""HRM33_IB""",,,,
4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,
DeviceID, FID, TID, Form, CTR, CTRN, PTR, LDAR,,,,,,,,,,,,
EPSOL-KITAGAWA," ""SEL-735-R203-V0-Z101100-D20190828"""," ""SUBSTATION""",9,4000,4000,1000,60,,,,,,,,,,,,
ChannelName, ChannelFunction, ChannelUnits, ChannelRule, ChannelMult, ChannelRollover, ChannelScale,,,,,,,,,,,,,
HRM25_IB, AVG," ""%"""," ""1""",1,999999999,1,,,,,,,,,,,,,
HRM3_IB, AVG," ""%"""," ""1""",1,999999999,1,,,,,,,,,,,,,
HRM27_IB, AVG," ""%"""," ""1""",1,999999999,1,,,,,,,,,,,,,
HRM5_IB, AVG," ""%"""," ""1""",1,999999999,1,,,,,,,,,,,,,
HRM7_IB, AVG," ""%"""," ""1""",1,999999999,1,,,,,,,,,,,,,
HRM9_IB, AVG," ""%"""," ""1""",1,999999999,1,,,,,,,,,,,,,
HRM11_IB, AVG," ""%"""," ""1""",1,999999999,1,,,,,,,,,,,,,
HRM13_IB, AVG," ""%"""," ""1""",1,999999999,1,,,,,,,,,,,,,
HRM15_IB, AVG," ""%"""," ""1""",1,999999999,1,,,,,,,,,,,,,
HRM17_IB, AVG," ""%"""," ""1""",1,999999999,1,,,,,,,,,,,,,
HRM19_IB, AVG," ""%"""," ""1""",1,999999999,1,,,,,,,,,,,,,
HRM21_IB, AVG," ""%"""," ""1""",1,999999999,1,,,,,,,,,,,,,
HRM23_IB, AVG," ""%"""," ""1""",1,999999999,1,,,,,,,,,,,,,
HRM29_IB, AVG," ""%"""," ""1""",1,999999999,1,,,,,,,,,,,,,
HRM31_IB, AVG," ""%"""," ""1""",1,999999999,1,,,,,,,,,,,,,
HRM33_IB, AVG," ""%"""," ""1""",1,999999999,1,,,,,,,,,,,,,
EventDate, EventTime, EventCode, EventDescription,,,,,,,,,,,,,,,,
6/10/2020, 14:43:30.603, X2048," ""SALARM"," Assert""",,,,,,,,,,,,,,,
6/10/2020, 14:43:31.603, X1048," ""SALARM"," Deassert""",,,,,,,,,,,,,,,
6/11/2020, 11:16:52.432, X2048," ""SALARM"," Assert""",,,,,,,,,,,,,,,
6/11/2020, 11:16:53.432, X1048," ""SALARM"," Deassert""",,,,,,,,,,,,,,,
6/11/2020, 11:17:07.057, X0000," ""Device settings changed""",,,,,,,,,,,,,,,,
6/11/2020, 11:17:08.357, X2048," ""SALARM"," Assert""",,,,,,,,,,,,,,,
6/11/2020, 11:17:09.357, X1048," ""SALARM"," Deassert""",,,,,,,,,,,,,,,
6/13/2020, 12:37:50.372, X0002," ""Power loss""",,,,,,,,,,,,,,,,
6/15/2020, 09:57:47.688, X0001," ""Power restored""",,,,,,,,,,,,,,,,
6/15/2020, 10:04:10.021, X2048," ""SALARM"," Assert""",,,,,,,,,,,,,,,
6/15/2020, 10:04:11.021, X1048," ""SALARM"," Deassert""",,,,,,,,,,,,,,,
6/15/2020, 10:04:15.971, X0000," ""Device settings changed""",,,,,,,,,,,,,,,,
6/15/2020, 10:04:16.538, X2048," ""SALARM"," Assert""",,,,,,,,,,,,,,,
6/15/2020, 10:04:17.538, X1048," ""SALARM"," Deassert""",,,,,,,,,,,,,,,
6/15/2020, 10:04:26.563, X0000," ""Device settings changed""",,,,,,,,,,,,,,,,
6/15/2020, 10:04:27.413, X2048," ""SALARM"," Assert""",,,,,,,,,,,,,,,
6/15/2020, 10:04:28.413, X1048," ""SALARM"," Deassert""",,,,,,,,,,,,,,,
6/15/2020, 10:16:36.535, X2032," ""SSI_EVE"," Assert""",,,,,,,,,,,,,,,
6/23/2020, 08:54:29.452, X0002," ""Power loss""",,,,,,,,,,,,,,,,
6/23/2020, 09:06:40.244, X0001," ""Power restored""",,,,,,,,,,,,,,,,
